"municipalityName";"municipalityCode";"provinceCode";"provinceName";"securityRegionCode";"securityRegionName";"population"
"Aa en Hunze";"GM1680";"PV22";"Drenthe";"VR03";"Drenthe";"25445"
"Aalsmeer";"GM0358";"PV27";"Noord-Holland";"VR13";"Amsterdam-Amstelland";"31859"
"Aalten";"GM0197";"PV25";"Gelderland";"VR06";"Noord-enOost-Gelderland";"27121"
"Achtkarspelen";"GM0059";"PV21";"Fryslân";"VR02";"Fryslân";"27843"
"Alblasserdam";"GM0482";"PV28";"Zuid-Holland";"VR18";"Zuid-Holland-Zuid";"20165"
"Albrandswaard";"GM0613";"PV28";"Zuid-Holland";"VR17";"Rotterdam-Rijnmond";"25590"
"Alkmaar";"GM0361";"PV27";"Noord-Holland";"VR10";"Noord-Holland-Noord";"109436"
"Almelo";"GM0141";"PV23";"Overijssel";"VR05";"Twente";"73107"
"Almere";"GM0034";"PV24";"Flevoland";"VR25";"Flevoland";"211893"
"Alphen aan den Rijn";"GM0484";"PV28";"Zuid-Holland";"VR16";"Hollands-Midden";"111897"
"Alphen-Chaam";"GM1723";"PV30";"Noord-Brabant";"VR20";"Midden-enWest-Brabant";"10203"
"Altena";"GM1959";"PV30";"Noord-Brabant";"VR20";"Midden-enWest-Brabant";"55967"
"Ameland";"GM0060";"PV21";"Friesland";"VR02";"Fryslân";"3716"
"Amersfoort";"GM0307";"PV26";"Utrecht";"VR09";"Utrecht";"157276"
"Amstelveen";"GM0362";"PV27";"Noord-Holland";"VR13";"Amsterdam-Amstelland";"91675"
"Amsterdam";"GM0363";"PV27";"Noord-Holland";"VR13";"Amsterdam-Amstelland";"872757"
"Apeldoorn";"GM0200";"PV25";"Gelderland";"VR06";"Noord-enOost-Gelderland";"163818"
"Appingedam";"GM0003";"PV20";"Groningen";"VR01";"Groningen";"11642"
"Arnhem";"GM0202";"PV25";"Gelderland";"VR07";"Gelderland-Midden";"161348"
"Assen";"GM0106";"PV22";"Drenthe";"VR03";"Drenthe";"68599"
"Asten";"GM0743";"PV30";"Noord-Brabant";"VR22";"Brabant-Zuidoost";"16721"
"Baarle-Nassau";"GM0744";"PV30";"Noord-Brabant";"VR20";"Midden-enWest-Brabant";"6859"
"Baarn";"GM0308";"PV26";"Utrecht";"VR09";"Utrecht";"24868"
"Barendrecht";"GM0489";"PV28";"Zuid-Holland";"VR17";"Rotterdam-Rijnmond";"48714"
"Barneveld";"GM0203";"PV25";"Gelderland";"VR07";"Gelderland-Midden";"59082"
"Beek (L.)";"GM0888";"PV31";"Limburg";"VR24";"Limburg-Zuid";"15865"
"Beekdaelen";"GM1954";"PV31";"Limburg";"VR24";"Limburg-Zuid";"35938"
"Beemster";"GM0370";"PV27";"Noord-Holland";"VR11";"Zaanstreek-Waterland";"10022"
"Beesel";"GM0889";"PV31";"Limburg";"VR23";"Limburg-Noord";"13482"
"Berg en Dal";"GM1945";"PV25";"Gelderland";"VR08";"Gelderland-Zuid";"34992"
"Bergeijk";"GM1724";"PV30";"Noord-Brabant";"VR22";"Brabant-Zuidoost";"18635"
"Bergen (L.)";"GM0893";"PV31";"Limburg";"VR23";"Limburg-Noord";"13085"
"Bergen (NH.)";"GM0373";"PV27";"Noord-Holland";"VR10";"Noord-Holland-Noord";"29839"
"Bergen op Zoom";"GM0748";"PV30";"Noord-Brabant";"VR20";"Midden-enWest-Brabant";"67496"
"Berkelland";"GM1859";"PV25";"Gelderland";"VR06";"Noord-enOost-Gelderland";"43747"
"Bernheze";"GM1721";"PV30";"Noord-Brabant";"VR21";"Brabant-Noord";"31240"
"Best";"GM0753";"PV30";"Noord-Brabant";"VR22";"Brabant-Zuidoost";"29988"
"Beuningen";"GM0209";"PV25";"Gelderland";"VR08";"Gelderland-Zuid";"25890"
"Beverwijk";"GM0375";"PV27";"Noord-Holland";"VR12";"Kennemerland";"41626"
"De Bilt";"GM0310";"PV26";"Utrecht";"VR09";"Utrecht";"43137"
"Bladel";"GM1728";"PV30";"Noord-Brabant";"VR22";"Brabant-Zuidoost";"20390"
"Blaricum";"GM0376";"PV27";"Noord-Holland";"VR14";"GooienVechtstreek";"11540"
"Bloemendaal";"GM0377";"PV27";"Noord-Holland";"VR12";"Kennemerland";"23571"
"Bodegraven-Reeuwijk";"GM1901";"PV28";"Zuid-Holland";"VR16";"Hollands-Midden";"34872"
"Boekel";"GM0755";"PV30";"Noord-Brabant";"VR21";"Brabant-Noord";"10785"
"Borger-Odoorn";"GM1681";"PV22";"Drenthe";"VR03";"Drenthe";"25559"
"Borne";"GM0147";"PV23";"Overijssel";"VR05";"Twente";"23312"
"Borsele";"GM0654";"PV29";"Zeeland";"VR19";"Zeeland";"22739"
"Boxmeer";"GM0756";"PV30";"Noord-Brabant";"VR21";"Brabant-Noord";"29365"
"Boxtel";"GM0757";"PV30";"Noord-Brabant";"VR21";"Brabant-Noord";"30801"
"Breda";"GM0758";"PV30";"Noord-Brabant";"VR20";"Midden-enWest-Brabant";"184069"
"Brielle";"GM0501";"PV28";"Zuid-Holland";"VR17";"Rotterdam-Rijnmond";"17271"
"Bronckhorst";"GM1876";"PV25";"Gelderland";"VR06";"Noord-enOost-Gelderland";"36055"
"Brummen";"GM0213";"PV25";"Gelderland";"VR06";"Noord-enOost-Gelderland";"20726"
"Brunssum";"GM0899";"PV31";"Limburg";"VR24";"Limburg-Zuid";"27821"
"Bunnik";"GM0312";"PV26";"Utrecht";"VR09";"Utrecht";"15191"
"Bunschoten";"GM0313";"PV26";"Utrecht";"VR09";"Utrecht";"21866"
"Buren";"GM0214";"PV25";"Gelderland";"VR08";"Gelderland-Zuid";"26749"
"Capelle aan den IJssel";"GM0502";"PV28";"Zuid-Holland";"VR17";"Rotterdam-Rijnmond";"67122"
"Castricum";"GM0383";"PV27";"Noord-Holland";"VR10";"Noord-Holland-Noord";"35986"
"Coevorden";"GM0109";"PV22";"Drenthe";"VR03";"Drenthe";"35297"
"Cranendonck";"GM1706";"PV30";"Noord-Brabant";"VR22";"Brabant-Zuidoost";"21138"
"Cuijk";"GM1684";"PV30";"Noord-Brabant";"VR21";"Brabant-Noord";"25130"
"Culemborg";"GM0216";"PV25";"Gelderland";"VR08";"Gelderland-Zuid";"28955"
"Dalfsen";"GM0148";"PV23";"Overijssel";"VR04";"IJsselland";"28587"
"Dantumadiel";"GM1891";"PV21";"Fryslân";"VR02";"Fryslân";"18922"
"Delft";"GM0503";"PV28";"Zuid-Holland";"VR15";"Haaglanden";"103595"
"Delfzijl";"GM0010";"PV20";"Groningen";"VR01";"Groningen";"24678"
"Deurne";"GM0762";"PV30";"Noord-Brabant";"VR22";"Brabant-Zuidoost";"32471"
"Deventer";"GM0150";"PV23";"Overijssel";"VR04";"IJsselland";"100719"
"Diemen";"GM0384";"PV27";"Noord-Holland";"VR13";"Amsterdam-Amstelland";"30780"
"Dinkelland";"GM1774";"PV23";"Overijssel";"VR05";"Twente";"26461"
"Doesburg";"GM0221";"PV25";"Gelderland";"VR07";"Gelderland-Midden";"11077"
"Doetinchem";"GM0222";"PV25";"Gelderland";"VR06";"Noord-enOost-Gelderland";"58001"
"Dongen";"GM0766";"PV30";"Noord-Brabant";"VR20";"Midden-enWest-Brabant";"26222"
"Dordrecht";"GM0505";"PV28";"Zuid-Holland";"VR18";"Zuid-Holland-Zuid";"119284"
"Drechterland";"GM0498";"PV27";"Noord-Holland";"VR10";"Noord-Holland-Noord";"19719"
"Drimmelen";"GM1719";"PV30";"Noord-Brabant";"VR20";"Midden-enWest-Brabant";"27272"
"Dronten";"GM0303";"PV24";"Flevoland";"VR25";"Flevoland";"41555"
"Druten";"GM0225";"PV25";"Gelderland";"VR08";"Gelderland-Zuid";"18926"
"Duiven";"GM0226";"PV25";"Gelderland";"VR07";"Gelderland-Midden";"25126"
"Echt-Susteren";"GM1711";"PV31";"Limburg";"VR23";"Limburg-Noord";"31610"
"Edam-Volendam";"GM0385";"PV27";"Noord-Holland";"VR11";"Zaanstreek-Waterland";"36197"
"Ede";"GM0228";"PV25";"Gelderland";"VR07";"Gelderland-Midden";"117165"
"Eemnes";"GM0317";"PV26";"Utrecht";"VR09";"Utrecht";"9247"
"Eersel";"GM0770";"PV30";"Noord-Brabant";"VR22";"Brabant-Zuidoost";"19313"
"Eijsden-Margraten";"GM1903";"PV31";"Limburg";"VR24";"Limburg-Zuid";"25768"
"Eindhoven";"GM0772";"PV30";"Noord-Brabant";"VR22";"Brabant-Zuidoost";"234394"
"Elburg";"GM0230";"PV25";"Gelderland";"VR06";"Noord-enOost-Gelderland";"23161"
"Emmen";"GM0114";"PV22";"Drenthe";"VR03";"Drenthe";"107048"
"Enkhuizen";"GM0388";"PV27";"Noord-Holland";"VR10";"Noord-Holland-Noord";"18591"
"Enschede";"GM0153";"PV23";"Overijssel";"VR05";"Twente";"159640"
"Epe";"GM0232";"PV25";"Gelderland";"VR06";"Noord-enOost-Gelderland";"33178"
"Ermelo";"GM0233";"PV25";"Gelderland";"VR06";"Noord-enOost-Gelderland";"27008"
"Etten-Leur";"GM0777";"PV30";"Noord-Brabant";"VR20";"Midden-enWest-Brabant";"43878"
"De Fryske Marren";"GM1940";"PV21";"Fryslân";"VR02";"Fryslân";"51564"
"Geertruidenberg";"GM0779";"PV30";"Noord-Brabant";"VR20";"Midden-enWest-Brabant";"21544"
"Geldrop-Mierlo";"GM1771";"PV30";"Noord-Brabant";"VR22";"Brabant-Zuidoost";"39726"
"Gemert-Bakel";"GM1652";"PV30";"Noord-Brabant";"VR22";"Brabant-Zuidoost";"30723"
"Gennep";"GM0907";"PV31";"Limburg";"VR23";"Limburg-Noord";"16921"
