date,doses,dosage
2021-02-26,1236192,0.5
2021-02-27,1285742,0.5
2021-02-28,1319008,0.5
2021-03-01,1336670,0.5
2021-03-02,1379655,0.5
2021-03-03,1425319,0.5
2021-03-04,1470623,0.5
2021-03-05,1527014,0.5
2021-03-06,1571318,0.5
2021-03-07,1596256,0.5
2021-03-08,1620090,0.5
2021-03-09,1656245,0.5
2021-03-10,1696498,0.5
2021-03-11,1740095,0.5
2021-03-12,1784735,0.5
2021-03-13,1832962,0.5
2021-03-14,1865547,0.5
2021-03-15,1892689,0.5
2021-03-16,1915572,0.5
2021-03-17,1946639,0.5
2021-03-18,1977224,0.5
2021-03-19,2008275,0.5
2021-03-20,2040932,0.5
2021-03-21,2070474,0.5
2021-03-22,2098236,0.5
2021-03-23,2122429,0.5
2021-03-24,2166469,0.5
2021-03-25,2224463,0.5
2021-03-26,2268139,0.5
2021-03-27,2323611,0.5
2021-03-28,2355458,0.5
2021-03-29,2378806,0.5
2021-03-30,2440088,0.5
2021-03-31,2505283,0.5
2021-04-01,2577660,0.5
2021-04-02,2664138,0.5
2021-04-03,2742044,0.5
2021-04-04,2783295,0.5
2021-04-05,2819712,0.5
2021-04-06,2909446,0.5
2021-04-07,2963955,0.5
2021-04-08,3016263,0.5
2021-04-09,3078641,0.5
2021-04-10,3135909,0.5
2021-04-11,3182836,0.5
2021-04-12,3182836,0.5
2021-04-13,3900464,0.5
2021-04-14,4020836,0.5
2021-04-15,4137027,0.5
2021-04-16,4253146,0.5
2021-04-17,4364511,0.5
2021-04-18,4473682,0.5
2021-04-19,4578683,0.5
2021-04-20,4688307,0.5
2021-04-21,4787163,0.5
2021-04-22,4873624,0.5
2021-04-23,4952724,0.5
2021-04-24,5039385,0.5
2021-04-25,5128167,0.5008887
2021-04-26,5207495,0.5008887
2021-04-27,5293851,0.5008887
2021-04-28,5176010,0.5008887
2021-04-29,5265860,0.5008887
2021-04-30,5360802,0.5008887
2021-05-01,5455349,0.5008887
2021-05-02,5557642,0.50431025
2021-05-03,5651041,0.50431025
2021-05-04,5757731,0.50431025
2021-05-05,5860446,0.50431025
2021-05-06,5980676,0.50431025
2021-05-07,6101271,0.50431025
2021-05-08,6224773,0.50431025
2021-05-09,6346699,0.50747925
2021-05-10,6462498,0.50747925
2021-05-11,6588757,0.50747925
2021-05-12,6722905,0.50747925
2021-05-13,6875100,0.50747925
2021-05-14,7022775,0.50747925
2021-05-15,7161926,0.50747925
2021-05-16,7309350,0.50747925
2021-05-17,7448904,0.50849015
2021-05-18,7600984,0.50849015
2021-05-19,7752844,0.50849015
2021-05-20,7899037,0.50849015
2021-05-21,8040730,0.50849015
2021-05-22,8181911,0.50849015
2021-05-23,8321476,0.5085431
2021-05-24,8457934,0.5085431
2021-05-25,8542731,0.5085431
2021-05-26,8643475,0.5085431
2021-05-27,8840874,0.5085431
2021-05-28,8971791,0.5085431
2021-05-29,9099559,0.5085431
2021-05-30,9231033,0.5085431
2021-05-31,9357152,0.5084903
2021-06-01,9490528,0.5084903
2021-06-02,9766210,0.5084903
2021-06-03,9934313,0.5084903
2021-06-04,10109509,0.5084903
2021-06-05,10277859,0.5084903
2021-06-06,10444475,0.5184884
2021-06-07,10618031,0.5184884
2021-06-08,10907972,0.5184884
2021-06-09,11145074,0.5184884
2021-06-10,11395454,0.5184884
2021-06-11,11640368,0.5184884
2021-06-12,11878295,0.5184884
2021-06-13,12208790,0.5184884
2021-06-14,12442350,0.5184884
